	Street	Neighborhood	City	Price €	Rooms	Surface	Floor	Exterior	Elevator
87	Piso en calle Caribe	 San Pascual	 Madrid	3200000	4	185 m²	14ª	Yes	Yes
138	Piso en Malasaña-Universidad	 	 Madrid	3300000	1	121 m²	3ª	Yes	Yes
78	Piso en calle gaztambide	 Gaztambide	 Madrid	3300000	3	135 m²	4ª	Yes	Yes
86	Piso en calle de Sangarcía	 Imperial	 Madrid	3355000	4	127 m²	1ª	Yes	Yes
146	Piso en avenida Corazon de maria	 Prosperidad	 Madrid	3355000	4	236 m²	2ª	Yes	Yes
88	Piso en calle Jorge Juan	 Recoletos	 Madrid	3400000	4	203 m²	1ª	Yes	Yes
148	Piso en calle Mozart	 Casa de Campo	 Madrid	3400000	3	123 m²	4ª	Yes	Yes
112	Piso en calle Ajofrín	 Amposta	 Madrid	3400000	3	95 m²	Bajo	Yes	Yes
22	Casa o chalet independiente en avenida de Valdemarín	 Valdemarín	 Madrid	3400000	7	800 m²	 	 	 
52	Piso en calle de Don Ramón de la Cruz	 Goya	 Madrid	3400000	4	210 m²	5ª	Yes	Yes
61	Casa o chalet independiente en calle del Maestro Ripoll	 El Viso	 Madrid	3595000	5	370 m²	 	 	 
121	Piso en Castellana	 	 Madrid	3595000	5	274 m²	1ª	Yes	 
154	Piso en calle de Andrés Mellado	 Vallehermoso	 Madrid	3800000	4	234 m²	4ª	Yes	Yes
143	Piso en Conde Orgaz-Piovera	 	 Madrid	3800000	5	407 m²	1ª	Yes	Yes
83	Piso en glorieta DE QUEVEDO	 Trafalgar	 Madrid	3800000	5	165 m²	3ª	Yes	Yes
151	Piso en plaza de Felipe II	 Goya	 Madrid	3995000	6	196 m²	3ª	Yes	Yes
85	Casa o chalet independiente en calle DE LOS OLIVOS	 Vallehermoso	 Madrid	4200000	5	512 m²	 	 	 
145	Piso en calle de Cándido Mateos	 Peñagrande	 Madrid	4200000	3	126 m²	5ª	Yes	Yes
165	Ático en calle de Alfonso X	 Almagro	 Madrid	4500000	4	257 m²	 	Yes	Yes
